time,latitude,longitude,value
2022-10-01,34.625,19.125,333312900000000.0
2022-10-01,34.625,19.375,394799940000000.0
2022-10-01,34.625,19.625,78134420000000.0
2022-10-01,34.625,19.875,243761570000000.0
2022-10-01,34.625,20.125,507741340000000.0
2022-10-01,34.625,20.375,592849500000000.0
2022-10-01,34.625,20.625,868194400000000.0
2022-10-01,34.625,20.875,1057680460000000.0
2022-10-01,34.625,21.125,1098512900000000.0
2022-10-01,34.625,21.375,1622862700000000.0
2022-10-01,34.625,21.625,1602818300000000.0
2022-10-01,34.625,21.875,1457902400000000.0
2022-10-01,34.625,22.125,824745000000000.0
2022-10-01,34.625,22.375,69929230000000.0
2022-10-01,34.625,22.625,902353640000000.0
2022-10-01,34.625,22.875,1092824360000000.0
2022-10-01,34.625,23.125,1314994000000000.0
2022-10-01,34.625,23.375,687870150000000.0
2022-10-01,34.625,23.625,319120060000000.0
2022-10-01,34.625,23.875,250056020000000.0
2022-10-01,34.625,24.125,987582600000000.0
2022-10-01,34.625,24.375,933980800000000.0
2022-10-01,34.625,24.625,511401100000000.0
2022-10-01,34.625,24.875,798074250000000.0
2022-10-01,34.625,25.125,1028483800000000.0
2022-10-01,34.625,25.375,645201400000000.0
2022-10-01,34.625,25.625,723804300000000.0
2022-10-01,34.625,25.875,1238980500000000.0
2022-10-01,34.625,26.125,1196268000000000.0
2022-10-01,34.625,26.375,1371385500000000.0
2022-10-01,34.625,26.625,252324310000000.0
2022-10-01,34.625,27.125,64808246000000.0
2022-10-01,34.625,27.875,698808500000000.0
2022-10-01,34.625,28.125,614502900000000.0
2022-10-01,34.625,28.625,446035040000000.0
2022-10-01,34.875,19.125,227287670000000.0
2022-10-01,34.875,19.375,23392237000000.0
2022-10-01,34.875,19.625,164206900000000.0
2022-10-01,34.875,19.875,351896470000000.0
2022-10-01,34.875,20.125,221296530000000.0
2022-10-01,34.875,20.375,743568600000000.0
2022-10-01,34.875,20.625,1008790200000000.0
2022-10-01,34.875,20.875,1140583600000000.0
2022-10-01,34.875,21.125,1062229800000000.0
2022-10-01,34.875,21.375,1578926300000000.0
2022-10-01,34.875,21.625,1516103600000000.0
2022-10-01,34.875,21.875,1216062000000000.0
2022-10-01,34.875,22.125,610373900000000.0
2022-10-01,34.875,22.375,470490400000000.0
2022-10-01,34.875,22.625,1172488900000000.0
2022-10-01,34.875,22.875,1176217000000000.0
2022-10-01,34.875,23.125,1350648800000000.0
2022-10-01,34.875,23.375,1154067600000000.0
2022-10-01,34.875,23.625,602262460000000.0
2022-10-01,34.875,23.875,526569060000000.0
2022-10-01,34.875,24.125,1054281660000000.0
2022-10-01,34.875,24.375,988576400000000.0
2022-10-01,34.875,24.625,1059049750000000.0
2022-10-01,34.875,24.875,1050532160000000.0
2022-10-01,34.875,25.125,988685500000000.0
2022-10-01,34.875,25.375,645329800000000.0
2022-10-01,34.875,25.625,735140160000000.0
2022-10-01,34.875,25.875,1390776200000000.0
2022-10-01,34.875,26.125,1354456700000000.0
2022-10-01,34.875,26.375,1479696100000000.0
2022-10-01,34.875,26.625,1006076000000000.0
