time,latitude,longitude,value
2022-01-03,34.5,24.5,134.57611203193665
2022-01-03,34.5,25.5,124.44797903299332
2022-01-03,34.5,26.5,135.97309589385986
2022-01-03,34.5,27.5,131.20006769895554
2022-01-03,34.5,28.5,130.7344064116478
2022-01-03,35.5,19.5,142.84159988164902
2022-01-03,35.5,20.5,137.71932572126389
2022-01-03,35.5,21.5,135.62384992837906
2022-01-03,35.5,22.5,133.4119588136673
2022-01-03,35.5,23.5,135.15818864107132
2022-01-03,35.5,24.5,135.97309589385986
2022-01-03,35.5,25.5,134.69252735376358
2022-01-03,35.5,26.5,129.91949915885925
2022-01-03,35.5,27.5,130.7344064116478
2022-01-03,35.5,28.5,129.22100722789764
2022-01-03,36.5,19.5,133.4119588136673
2022-01-03,36.5,20.5,135.97309589385986
2022-01-03,36.5,21.5,133.87762010097504
2022-01-03,36.5,22.5,137.37007975578308
2022-01-03,36.5,23.5,143.19084584712982
2022-01-03,36.5,24.5,139.34914022684097
2022-01-03,36.5,25.5,135.85668057203293
2022-01-03,36.5,26.5,135.15818864107132
2022-01-03,36.5,27.5,133.7612047791481
2022-01-03,36.5,28.5,125.3793016076088
2022-01-03,37.5,19.5,134.92535799741745
2022-01-03,37.5,20.5,131.0836523771286
2022-01-03,37.5,21.5,136.0895112156868
2022-01-03,37.5,23.5,145.7519829273224
2022-01-03,37.5,24.5,144.8206603527069
2022-01-03,37.5,25.5,138.4178176522255
2022-01-03,37.5,26.5,133.52837413549423
2022-01-03,37.5,27.5,136.20592653751373
2022-01-03,38.5,19.5,133.52837413549423
2022-01-03,38.5,20.5,136.7880031466484
2022-01-03,38.5,21.5,135.97309589385986
2022-01-03,38.5,23.5,145.98481357097626
2022-01-03,38.5,24.5,146.21764421463013
2022-01-03,38.5,25.5,142.72518455982208
2022-01-03,38.5,26.5,136.90441846847534
2022-01-03,39.5,19.5,133.64478945732117
2022-01-03,39.5,20.5,135.85668057203293
2022-01-03,39.5,22.5,145.7519829273224
2022-01-03,39.5,23.5,145.86839824914932
2022-01-03,39.5,24.5,147.8474587202072
2022-01-03,39.5,25.5,142.25952327251434
2022-01-03,39.5,26.5,139.4655555486679
2022-01-03,40.5,19.5,131.0836523771286
2022-01-03,40.5,22.5,140.3968781232834
2022-01-03,40.5,23.5,144.4714143872261
2022-01-03,40.5,24.5,142.25952327251434
2022-01-03,40.5,25.5,141.4446160197258
2022-01-03,40.5,26.5,140.62970876693726
2022-01-03,40.5,27.5,137.25366443395615
2022-01-03,40.5,28.5,140.3968781232834
2022-01-03,41.5,19.5,133.87762010097504
2022-01-03,41.5,26.5,137.60291039943695
2022-01-03,41.5,27.5,134.57611203193665
2022-01-03,41.5,28.5,145.63556760549545
2022-01-04,34.5,19.5,149.36085790395737
2022-01-04,34.5,20.5,152.5040715932846
2022-01-04,34.5,21.5,154.25030142068863
2022-01-04,34.5,22.5,154.25030142068863
2022-01-04,34.5,27.5,134.1104507446289
2022-01-04,34.5,28.5,133.87762010097504
2022-01-04,35.5,19.5,136.67158782482147
2022-01-04,35.5,20.5,136.67158782482147
2022-01-04,35.5,21.5,136.67158782482147
2022-01-04,35.5,22.5,138.88347893953323
2022-01-04,35.5,27.5,132.7134668827057
2022-01-04,35.5,28.5,135.50743460655212
2022-01-04,36.5,19.5,136.32234185934067
2022-01-04,36.5,20.5,135.04177331924438
2022-01-04,36.5,21.5,137.37007975578308
2022-01-04,36.5,22.5,139.23272490501404
2022-01-04,36.5,27.5,130.61799108982086
2022-01-04,36.5,28.5,129.68666851520538
2022-01-04,37.5,19.5,138.18498700857162
2022-01-04,37.5,20.5,139.1163095831871
2022-01-04,37.5,21.5,139.1163095831871
2022-01-04,37.5,26.5,143.65650713443756
2022-01-04,37.5,27.5,140.62970876693726
2022-01-04,38.5,19.5,137.48649507761002
2022-01-04,38.5,20.5,137.71932572126389
2022-01-04,38.5,21.5,140.28046280145645
2022-01-04,38.5,25.5,136.4387571811676
2022-01-04,38.5,26.5,139.8148015141487
2022-01-04,38.5,27.5,144.00575309991837
2022-01-04,39.5,19.5,134.34328138828278
2022-01-04,39.5,20.5,142.84159988164902
2022-01-04,39.5,25.5,152.38765627145767
2022-01-04,39.5,26.5,146.7997208237648
2022-01-04,40.5,19.5,130.7344064116478
2022-01-04,40.5,24.5,156.1129465699196
2022-01-04,40.5,25.5,156.1129465699196
2022-01-04,40.5,26.5,140.3968781232834
2022-01-04,40.5,27.5,133.17912817001343
2022-01-04,40.5,28.5,137.02083379030228
2022-01-04,41.5,19.5,131.31648302078247
2022-01-04,41.5,26.5,135.97309589385986
2022-01-04,41.5,27.5,121.0719347000122
2022-01-04,41.5,28.5,133.52837413549423
2022-01-05,34.5,19.5,138.88347893953323
2022-01-05,34.5,20.5,137.02083379030228
2022-01-05,34.5,21.5,130.7344064116478
2022-01-05,34.5,22.5,127.94043868780136
2022-01-05,34.5,23.5,142.37593859434128
2022-01-05,34.5,24.5,153.31897884607315
2022-01-05,34.5,25.5,152.1548256278038
2022-01-05,34.5,26.5,150.40859580039978
2022-01-05,34.5,27.5,152.1548256278038
2022-01-05,34.5,28.5,152.38765627145767
2022-01-05,35.5,19.5,140.86253941059113
2022-01-05,35.5,20.5,135.740265250206
2022-01-05,35.5,21.5,128.0568540096283
2022-01-05,35.5,22.5,131.89855962991714
2022-01-05,35.5,23.5,134.1104507446289
2022-01-05,35.5,24.5,133.64478945732117
2022-01-05,35.5,25.5,131.54931366443634
2022-01-05,35.5,26.5,131.4328983426094
2022-01-05,35.5,27.5,137.37007975578308
2022-01-05,35.5,28.5,154.01747077703476
2022-01-05,36.5,19.5,140.04763215780258
2022-01-05,36.5,20.5,133.52837413549423
2022-01-05,36.5,21.5,126.776285469532
2022-01-05,36.5,22.5,132.48063623905182
2022-01-05,36.5,23.5,140.28046280145645
2022-01-05,36.5,24.5,137.02083379030228
2022-01-05,36.5,25.5,141.91027730703354
2022-01-05,36.5,26.5,140.51329344511032
2022-01-05,36.5,27.5,124.6808096766472
2022-01-05,36.5,28.5,135.04177331924438
2022-01-05,37.5,19.5,134.80894267559052
2022-01-05,37.5,20.5,129.91949915885925
2022-01-05,37.5,21.5,126.19420886039734
2022-01-05,37.5,22.5,120.83910405635834
2022-01-05,37.5,23.5,140.28046280145645
2022-01-05,37.5,24.5,139.8148015141487
2022-01-05,37.5,25.5,139.23272490501404
2022-01-05,37.5,26.5,144.23858374357224
2022-01-05,37.5,27.5,136.7880031466484
2022-01-05,38.5,19.5,136.4387571811676
2022-01-05,38.5,20.5,140.86253941059113
2022-01-05,38.5,21.5,141.21178537607193
2022-01-05,38.5,23.5,140.51329344511032
2022-01-05,38.5,24.5,142.1431079506874
2022-01-05,38.5,25.5,137.1372491121292
2022-01-05,38.5,26.5,135.3910192847252
2022-01-05,38.5,27.5,131.0836523771286
2022-01-05,39.5,19.5,133.7612047791481
2022-01-05,39.5,22.5,141.4446160197258
2022-01-05,39.5,23.5,141.67744666337967
2022-01-05,39.5,24.5,140.86253941059113
2022-01-05,39.5,25.5,139.69838619232178
2022-01-05,39.5,26.5,135.50743460655212
2022-01-05,40.5,19.5,133.17912817001343
2022-01-05,40.5,22.5,140.51329344511032
2022-01-05,40.5,23.5,143.7729224562645
2022-01-05,40.5,24.5,144.58782970905304
2022-01-05,40.5,25.5,144.58782970905304
2022-01-05,40.5,26.5,139.93121683597565
2022-01-05,40.5,27.5,140.62970876693726
2022-01-05,40.5,28.5,139.69838619232178
2022-01-05,41.5,19.5,127.35836207866669
2022-01-05,41.5,26.5,135.97309589385986
2022-01-05,41.5,27.5,138.18498700857162
2022-01-05,41.5,28.5,144.58782970905304
2022-01-06,34.5,19.5,128.63893061876297
2022-01-06,34.5,20.5,129.22100722789764
2022-01-06,34.5,21.5,125.26288628578186
2022-01-06,34.5,22.5,125.030055642128
2022-01-06,34.5,23.5,122.35250324010848
2022-01-06,34.5,24.5,131.31648302078247
2022-01-06,34.5,25.5,134.1104507446289
2022-01-06,34.5,26.5,146.33405953645706
2022-01-06,35.5,19.5,133.29554349184036
2022-01-06,35.5,20.5,131.0836523771286
2022-01-06,35.5,21.5,127.00911611318588
2022-01-06,35.5,22.5,122.00325727462769
2022-01-06,35.5,23.5,126.0777935385704
2022-01-06,35.5,24.5,130.26874512434006
2022-01-06,35.5,25.5,128.52251529693604
2022-01-06,36.5,19.5,127.94043868780136
2022-01-06,36.5,20.5,125.7285475730896
2022-01-06,36.5,21.5,122.93457984924316
2022-01-06,36.5,22.5,119.79136615991592
2022-01-06,36.5,23.5,120.14061212539671
